Democrats,Republicans,Others,Total,ED,RD,year,month,county
961,326,513,1800,05,23,2018,October,New Castle
695,584,501,1780,06,23,2018,October,New Castle
570,450,428,1448,07,23,2018,October,New Castle
578,460,416,1454,08,23,2018,October,New Castle
188,244,177,609,09,23,2018,October,New Castle
953,479,578,2010,01,24,2018,October,New Castle
1072,389,490,1951,02,24,2018,October,New Castle
691,293,369,1353,03,24,2018,October,New Castle
626,144,246,1016,04,24,2018,October,New Castle
1200,425,580,2205,05,24,2018,October,New Castle
598,390,417,1405,06,24,2018,October,New Castle
1228,325,434,1987,07,24,2018,October,New Castle
874,424,538,1836,08,24,2018,October,New Castle
506,244,268,1018,09,24,2018,October,New Castle
789,335,458,1582,10,24,2018,October,New Castle
760,252,410,1422,01,25,2018,October,New Castle
573,424,408,1405,02,25,2018,October,New Castle
734,351,494,1579,03,25,2018,October,New Castle
678,381,404,1463,04,25,2018,October,New Castle
607,425,446,1478,05,25,2018,October,New Castle
995,417,495,1907,06,25,2018,October,New Castle
843,496,595,1934,07,25,2018,October,New Castle
429,180,218,827,08,25,2018,October,New Castle
876,428,480,1784,01,26,2018,October,New Castle
919,225,362,1506,02,26,2018,October,New Castle
676,258,328,1262,03,26,2018,October,New Castle
1091,350,465,1906,04,26,2018,October,New Castle
1263,387,602,2252,05,26,2018,October,New Castle
979,354,474,1807,06,26,2018,October,New Castle
1188,415,557,2160,07,26,2018,October,New Castle
302,88,134,524,08,26,2018,October,New Castle
1941,336,603,2880,09,26,2018,October,New Castle
1229,605,643,2477,01,27,2018,October,New Castle
744,351,352,1447,02,27,2018,October,New Castle
794,293,364,1451,03,27,2018,October,New Castle
877,496,578,1951,04,27,2018,October,New Castle
937,505,484,1926,05,27,2018,October,New Castle
947,237,373,1557,06,27,2018,October,New Castle
241,238,189,668,07,27,2018,October,New Castle
937,592,570,2099,08,27,2018,October,New Castle
819,644,476,1939,09,27,2018,October,New Castle
829,687,596,2112,10,27,2018,October,New Castle
900,81,177,1158,01,01,2018,November,New Castle
1571,65,190,1826,02,01,2018,November,New Castle
1117,73,169,1359,03,01,2018,November,New Castle
1576,102,274,1952,04,01,2018,November,New Castle
1225,202,335,1762,05,01,2018,November,New Castle
570,47,111,728,06,01,2018,November,New Castle
655,57,144,856,07,01,2018,November,New Castle
149,61,55,265,08,01,2018,November,New Castle
994,105,162,1261,09,01,2018,November,New Castle
1514,76,216,1806,10,01,2018,November,New Castle
726,66,167,959,11,01,2018,November,New Castle
379,120,173,672,12,01,2018,November,New Castle
849,152,209,1210,13,01,2018,November,New Castle
476,229,242,947,14,01,2018,November,New Castle
1865,115,309,2289,01,02,2018,November,New Castle
635,31,97,763,02,02,2018,November,New Castle
224,54,81,359,03,02,2018,November,New Castle
66,33,22,121,04,02,2018,November,New Castle
1034,107,234,1375,05,02,2018,November,New Castle
839,118,304,1261,06,02,2018,November,New Castle
883,122,228,1233,07,02,2018,November,New Castle
943,59,170,1172,08,02,2018,November,New Castle
519,213,238,970,09,02,2018,November,New Castle
1127,195,438,1760,10,02,2018,November,New Castle
1495,68,235,1798,11,02,2018,November,New Castle
941,51,163,1155,12,02,2018,November,New Castle
378,88,209,675,17,02,2018,November,New Castle
1062,93,231,1386,01,03,2018,November,New Castle
1252,234,317,1803,02,03,2018,November,New Castle
585,56,153,794,03,03,2018,November,New Castle
1348,114,272,1734,04,03,2018,November,New Castle
133,9,33,175,05,03,2018,November,New Castle
1189,109,295,1593,06,03,2018,November,New Castle
1643,167,372,2182,07,03,2018,November,New Castle
1087,188,292,1567,08,03,2018,November,New Castle
1551,172,376,2099,09,03,2018,November,New Castle
271,71,94,436,10,03,2018,November,New Castle
